Year,Month,year,quakes,AVGMag
1982,7,1982,0,
1982,8,1982,0,
1982,9,1982,0,
1982,10,1982,1,5.5
1982,11,1982,0,
1982,12,1982,1,6.0
1983,1,1983,3,5.833333333333333
1983,2,1983,1,6.9
1983,3,1983,0,
1983,4,1983,0,
1983,5,1983,1,5.5
1983,6,1983,0,
1983,7,1983,1,5.5
1983,8,1983,0,
1983,9,1983,1,5.9
1983,10,1983,6,6.1499999999999995
1983,11,1983,0,
1983,12,1983,2,5.85
1984,1,1984,0,
1984,2,1984,2,5.85
1984,3,1984,0,
1984,4,1984,1,5.7
1984,5,1984,1,5.5
1984,6,1984,3,6.133333333333333
1984,7,1984,1,5.8
1984,8,1984,2,5.6
1984,9,1984,1,5.5
1984,10,1984,1,6.2
1984,11,1984,2,5.55
1984,12,1984,2,6.0
1985,1,1985,2,6.25
1985,2,1985,3,5.633333333333333
1985,3,1985,25,6.127999999999999
1985,4,1985,3,6.333333333333333
1985,5,1985,3,5.966666666666666
1985,6,1985,3,5.7
1985,7,1985,5,5.6
1985,8,1985,3,5.766666666666666
1985,9,1985,1,5.7
1985,10,1985,1,5.6
1985,11,1985,0,
1985,12,1985,0,
1986,1,1986,0,
1986,2,1986,1,5.8
1986,3,1986,2,5.9
1986,4,1986,1,5.6
1986,5,1986,0,
1986,6,1986,0,
1986,7,1986,1,5.7
1986,8,1986,1,5.7
1986,9,1986,0,
1986,10,1986,1,5.5
1986,11,1986,0,
1986,12,1986,1,5.6
1987,1,1987,1,5.5
1987,2,1987,1,5.9
1987,3,1987,10,6.11
1987,4,1987,0,
1987,5,1987,2,6.0
1987,6,1987,1,5.7
1987,7,1987,3,5.7
1987,8,1987,3,6.766666666666667
1987,9,1987,3,5.733333333333333
1987,10,1987,2,5.75
1987,11,1987,0,
1987,12,1987,2,5.7
1988,1,1988,2,6.45
1988,2,1988,8,6.2125
1988,3,1988,3,6.033333333333334
1988,4,1988,4,6.1
1988,5,1988,4,5.775
1988,6,1988,0,
1988,7,1988,1,5.8
1988,8,1988,4,6.0
1988,9,1988,2,5.75
1988,10,1988,0,
1988,11,1988,0,
1988,12,1988,1,6.1
1989,1,1989,2,5.6
1989,2,1989,1,5.5
1989,3,1989,0,
1989,4,1989,2,5.85
1989,5,1989,1,5.6
1989,6,1989,1,5.7
1989,7,1989,0,
1989,8,1989,0,
1989,9,1989,1,5.5
1989,10,1989,0,
1989,11,1989,2,6.199999999999999
1989,12,1989,1,5.5
1990,1,1990,2,5.5
1990,2,1990,2,5.800000000000001
1990,3,1990,0,
1990,4,1990,4,5.8
1990,5,1990,2,6.0
1990,6,1990,2,5.6
1990,7,1990,1,5.7
1990,8,1990,1,6.0
1990,9,1990,1,5.7
1990,10,1990,2,6.1
1990,11,1990,1,5.8
1990,12,1990,2,5.5
1991,1,1991,0,
1991,2,1991,0,
1991,3,1991,1,5.5
1991,4,1991,0,
1991,5,1991,2,6.15
1991,6,1991,0,
1991,7,1991,1,6.0
1991,8,1991,0,
1991,9,1991,1,5.9
1991,10,1991,1,5.5
1991,11,1991,0,
1991,12,1991,2,5.85
1992,1,1992,1,5.8
1992,2,1992,1,5.8
1992,3,1992,0,
1992,4,1992,2,5.65
1992,5,1992,3,5.733333333333333
1992,6,1992,1,5.8
1992,7,1992,0,
1992,8,1992,1,5.5
1992,9,1992,1,5.5
1992,10,1992,0,
1992,11,1992,3,6.033333333333334
1992,12,1992,1,5.7
1993,1,1993,0,
1993,2,1993,1,5.7
1993,3,1993,4,6.025
1993,4,1993,0,
1993,5,1993,2,5.95
1993,6,1993,1,6.3
1993,7,1993,3,6.0
1993,8,1993,0,
1993,9,1993,1,5.6
1993,10,1993,1,5.8
1993,11,1993,1,5.8
1993,12,1993,1,5.6
1994,1,1994,0,
1994,2,1994,0,
1994,3,1994,0,
1994,4,1994,1,5.6
1994,5,1994,3,5.666666666666667
1994,6,1994,1,6.0
1994,7,1994,0,
1994,8,1994,1,5.5
1994,9,1994,4,5.675
1994,10,1994,1,5.8
1994,11,1994,1,5.8
1994,12,1994,3,5.933333333333334
1995,1,1995,0,
1995,2,1995,2,5.8
1995,3,1995,2,5.5
1995,4,1995,0,
1995,5,1995,1,5.7
1995,6,1995,2,5.55
1995,7,1995,7,6.185714285714286
1995,8,1995,7,5.857142857142857
1995,9,1995,3,5.7
1995,10,1995,4,5.7
1995,11,1995,3,6.066666666666666
1995,12,1995,0,
1996,1,1996,0,
1996,2,1996,1,6.0
1996,3,1996,1,5.5
1996,4,1996,1,6.6
1996,5,1996,0,
1996,6,1996,0,
1996,7,1996,1,5.9
1996,8,1996,0,
1996,9,1996,3,5.766666666666667
1996,10,1996,1,5.7
1996,11,1996,3,5.7
1996,12,1996,1,5.5
1997,1,1997,0,
1997,2,1997,0,
1997,3,1997,3,5.766666666666667
1997,4,1997,4,5.875
1997,5,1997,2,5.5
1997,6,1997,0,
1997,7,1997,11,5.972727272727273
1997,8,1997,2,5.65
1997,9,1997,1,5.6
1997,10,1997,3,6.1000000000000005
1997,11,1997,2,5.9
1997,12,1997,1,5.7
1998,1,1998,3,6.433333333333333
1998,2,1998,1,5.5
1998,3,1998,1,5.6
1998,4,1998,2,5.65
1998,5,1998,0,
1998,6,1998,2,5.7
1998,7,1998,2,5.95
1998,8,1998,1,5.7
1998,9,1998,2,6.1
1998,10,1998,2,5.95
1998,11,1998,2,5.55
1998,12,1998,1,6.0
1999,1,1999,0,
1999,2,1999,1,5.6
1999,3,1999,3,5.8999999999999995
1999,4,1999,2,6.199999999999999
1999,5,1999,0,
1999,6,1999,0,
1999,7,1999,1,5.6
1999,8,1999,1,5.5
1999,9,1999,2,6.2
1999,10,1999,0,
1999,11,1999,2,6.25
1999,12,1999,1,5.7
2000,1,2000,1,6.4
2000,2,2000,0,
2000,3,2000,0,
2000,4,2000,0,
2000,5,2000,0,
2000,6,2000,2,6.15
2000,7,2000,0,
2000,8,2000,2,5.65
2000,9,2000,0,
2000,10,2000,0,
2000,11,2000,1,6.3
2000,12,2000,0,
2001,1,2001,2,5.800000000000001
2001,2,2001,2,5.55
2001,3,2001,2,5.9
2001,4,2001,3,6.033333333333334
2001,5,2001,0,
2001,6,2001,17,5.952941176470588
2001,7,2001,4,6.549999999999999
2001,8,2001,2,5.75
2001,9,2001,0,
2001,10,2001,1,5.5
2001,11,2001,0,
2001,12,2001,1,5.8
2002,1,2002,1,5.8
2002,2,2002,1,5.6
2002,3,2002,2,6.0
2002,4,2002,2,6.550000000000001
2002,5,2002,2,5.85
2002,6,2002,1,6.6
2002,7,2002,1,5.5
2002,8,2002,0,
2002,9,2002,1,6.3
2002,10,2002,0,
2002,11,2002,0,
2002,12,2002,0,
2003,1,2003,1,5.7
2003,2,2003,1,5.6
2003,3,2003,0,
2003,4,2003,0,
2003,5,2003,2,5.6
2003,6,2003,4,5.9750000000000005
2003,7,2003,1,5.5
2003,8,2003,1,5.7
2003,9,2003,1,5.8
2003,10,2003,0,
2003,11,2003,1,5.6
2003,12,2003,1,5.8
2004,1,2004,3,5.800000000000001
2004,2,2004,0,
2004,3,2004,1,5.5
2004,4,2004,1,5.5
2004,5,2004,2,6.05
2004,6,2004,1,5.7
2004,7,2004,0,
2004,8,2004,2,6.2
2004,9,2004,3,5.666666666666667
2004,10,2004,0,
2004,11,2004,0,
2004,12,2004,2,5.8
2005,1,2005,0,
2005,2,2005,0,
2005,3,2005,0,
2005,4,2005,1,5.8
2005,5,2005,0,
2005,6,2005,3,6.466666666666666
2005,7,2005,2,5.9
2005,8,2005,1,5.8
2005,9,2005,1,5.8
2005,10,2005,2,5.6
2005,11,2005,2,6.15
2005,12,2005,0,
2006,1,2006,0,
2006,2,2006,0,
2006,3,2006,0,
2006,4,2006,9,5.977777777777777
2006,5,2006,2,5.55
2006,6,2006,2,5.5
2006,7,2006,2,5.85
2006,8,2006,2,6.1
2006,9,2006,2,6.0
2006,10,2006,5,5.8
2006,11,2006,4,5.7
2006,12,2006,1,5.6
2007,1,2007,0,
2007,2,2007,3,5.533333333333334
2007,3,2007,4,5.6499999999999995
2007,4,2007,0,
2007,5,2007,2,5.7
2007,6,2007,4,5.65
2007,7,2007,0,
2007,8,2007,1,5.5
2007,9,2007,0,
2007,10,2007,1,5.6
2007,11,2007,13,6.007692307692308
2007,12,2007,7,5.942857142857143
2008,1,2008,1,5.7
2008,2,2008,2,6.199999999999999
2008,3,2008,3,5.833333333333333
2008,4,2008,0,
2008,5,2008,0,
2008,6,2008,0,
2008,7,2008,1,6.2
2008,8,2008,0,
2008,9,2008,1,5.7
2008,10,2008,0,
2008,11,2008,0,
2008,12,2008,4,5.85
2009,1,2009,1,5.5
2009,2,2009,0,
2009,3,2009,0,
2009,4,2009,1,6.1
2009,5,2009,1,5.8
2009,6,2009,0,
2009,7,2009,1,5.7
2009,8,2009,0,
2009,9,2009,2,5.85
2009,10,2009,1,5.6
2009,11,2009,2,6.35
2009,12,2009,1,5.6
2010,1,2010,1,5.9
2010,2,2010,39,5.892307692307691
2010,3,2010,28,5.953571428571428
2010,4,2010,8,5.7625
2010,5,2010,3,6.133333333333333
2010,6,2010,3,5.566666666666666
2010,7,2010,5,5.959999999999999
2010,8,2010,1,5.9
2010,9,2010,2,6.0
2010,10,2010,4,5.699999999999999
2010,11,2010,0,
2010,12,2010,0,
2011,1,2011,2,6.550000000000001
2011,2,2011,9,6.055555555555555
2011,3,2011,2,5.9
2011,4,2011,2,5.75
2011,5,2011,0,
2011,6,2011,4,6.025
2011,7,2011,3,5.733333333333333
2011,8,2011,1,5.5
2011,9,2011,3,5.733333333333333
2011,10,2011,1,5.7
2011,11,2011,1,5.7
2011,12,2011,1,6.1
2012,1,2012,2,5.85
2012,2,2012,1,5.6
2012,3,2012,1,7.1
2012,4,2012,2,6.15
2012,5,2012,2,6.0
2012,6,2012,2,6.05
2012,7,2012,0,
2012,8,2012,0,
2012,9,2012,0,
2012,10,2012,2,5.6
2012,11,2012,2,6.0
2012,12,2012,1,5.9
2013,1,2013,1,6.8
2013,2,2013,0,
2013,3,2013,0,
2013,4,2013,0,
2013,5,2013,1,5.5
2013,6,2013,1,5.6
2013,7,2013,2,5.8
2013,8,2013,1,5.8
2013,9,2013,1,7.1
2013,10,2013,3,6.2
2013,11,2013,0,
2013,12,2013,1,5.5
2014,1,2014,3,5.666666666666667
2014,2,2014,1,5.6
2014,3,2014,12,5.916666666666667
2014,4,2014,19,6.084210526315789
2014,5,2014,3,5.566666666666666
2014,6,2014,4,5.7250000000000005
2014,7,2014,2,5.55
2014,8,2014,3,5.833333333333333
2014,9,2014,0,
2014,10,2014,0,
2014,11,2014,1,5.6
2014,12,2014,0,
2015,1,2015,1,5.5
2015,2,2015,2,6.1
2015,3,2015,3,6.066666666666667
2015,4,2015,0,
2015,5,2015,1,5.6
2015,6,2015,4,5.925
2015,7,2015,0,
2015,8,2015,2,5.6
2015,9,2015,34,6.011764705882352
2015,10,2015,6,5.7
2015,11,2015,10,6.16
2015,12,2015,4,5.6000000000000005
2016,1,2016,1,5.7
2016,2,2016,3,6.0
2016,3,2016,0,
2016,4,2016,0,
2016,5,2016,0,
2016,6,2016,4,5.625
2016,7,2016,2,5.949999999999999
2016,8,2016,1,5.5
2016,9,2016,0,
2016,10,2016,1,6.0
2016,11,2016,4,6.1
2016,12,2016,1,6.2
